,question_id,question_text,answer_text,answer_id,freq_weighted,percent_weighted
0,A19,Shares your values,Very well,1,30.811091494999992,0.1529010008391097
1,A19,Shares your values,Somewhat well,2,71.40978405000001,0.3543732766728359
2,A19,Shares your values,Not very well,3,23.108230483,0.11467531324052252
3,A19,Shares your values,Not well at all,4,43.43931242800001,0.21556894039543598
4,A19,Shares your values,(Don't know/Refused),5,32.741652282,0.16248146885209594
5,A2,"In general, are things in the United States headed in the right direction, or are things off on the wrong track?",Right direction,1,76.756767207,0.38090784706635256
6,A2,"In general, are things in the United States headed in the right direction, or are things off on the wrong track?",Wrong track,2,93.99591347900002,0.4664576471774054
7,A2,"In general, are things in the United States headed in the right direction, or are things off on the wrong track?",(Neither/Mixed),3,18.087782777,0.08976118518918803
8,A2,"In general, are things in the United States headed in the right direction, or are things off on the wrong track?",(Don't know/Refused),4,12.669607275,0.06287332056705398
9,A20,Stands up for veterans,Very well,1,47.11576245999999,0.23381343814453384
10,A20,Stands up for veterans,Somewhat well,2,46.167793253999996,0.22910911144498872
11,A20,Stands up for veterans,Not very well,3,11.530356682999999,0.05721975403398859
12,A20,Stands up for veterans,Not well at all,4,24.341946620999995,0.12079766798677267
13,A20,Stands up for veterans,(Don't know/Refused),5,72.35421172,0.35906002838971623
14,A21,Fiscally responsible with taxpayers' money,Very well,1,28.223950588999994,0.1400622335431379
15,A21,Fiscally responsible with taxpayers' money,Somewhat well,2,64.401849425,0.3195961829060851
16,A21,Fiscally responsible with taxpayers' money,Not very well,3,20.546858801000003,0.10196442652096868
17,A21,Fiscally responsible with taxpayers' money,Not well at all,4,37.283209045999996,0.18501908569361278
18,A21,Fiscally responsible with taxpayers' money,(Don't know/Refused),5,51.054202876999994,0.2533580713361955
19,A22,Too focused on moving up in her political career,Very well,1,56.98277577000001,0.28277879890225466
20,A22,Too focused on moving up in her political career,Somewhat well,2,43.19460292399999,0.21435456186287027
21,A22,Too focused on moving up in her political career,Not very well,3,25.060966766999996,0.12436582784779945
22,A22,Too focused on moving up in her political career,Not well at all,4,27.354292399000002,0.13574652769868556
